id;code;name;credit_limit;rating;is_active;phone;address_line_1;address_line_2;city;country;email;transaction_id;location_code;tenant_code
1;Croatian Springs Cambridgeshire;International Seychelles;94890;40788;true;1-517-478-1805;Forint;Account;New Ramirohaven;Reunion;Jessica.Cartwright47@hotmail.com;Bike capacitor;input Bedfordshire;Salad payment
2;Soft Forward;Investment;46830;29181;false;351-246-1020 x857;Chief pink;Total;Connorberg;Macedonia;Catherine28@yahoo.com;Rustic Pants;HDD navigating Card;COM SCSI hard
3;Pants;Nakfa;67205;97000;false;(405) 710-9042;Account intranet Keyboard;transmit Bedfordshire;Nienowview;Australia;Randal_Dickinson80@yahoo.com;backing;invoice;Avon Assimilated
4;multi-byte Adaptive algorithm;management;39342;85375;false;305.604.8746 x58148;bleeding-edge;olive sexy;Konopelskiberg;Svalbard & Jan Mayen Islands;Monserrat.McGlynn31@hotmail.com;withdrawal Account portals;Fish Chicken robust;networks red Keyboard
5;sensor Shoes;Hampshire;75871;78171;false;(661) 646-9716 x609;Djibouti virtual Intuitive;Bacon;East Loymouth;Turkey;Charlotte_Kreiger48@hotmail.com;Games website;Liaison AGP;Mountains Dynamic Market
6;Island Underpass Orchestrator;copy Baby;26461;30921;true;717-733-9145 x401;Bedfordshire;Cuban Ferry;South Abagail;Antigua and Barbuda;Harmony49@hotmail.com;parse Ball;Village Indiana;Chair withdrawal
7;Borders Krone;Mobility;76026;35008;true;799-268-6786 x949;Toys blockchains;Shirt Belize;Temple;Iceland;Angie_Gaylord@yahoo.com;incubate Car;systems;facilitate
8;streamline Sausages;deposit;38862;34483;true;1-827-381-0809 x978;Plains firmware;hacking;Elenorafort;Palau;Gardner.Gulgowski@yahoo.com;engine Rufiyaa copying;multi-byte benchmark;Account
9;Rustic navigate;cultivate;57189;87834;false;1-207-541-3456 x7596;overriding;Borders Borders neural;Wizaside;Liberia;Jolie.Cartwright@yahoo.com;Ocean Investment;frictionless Liaison line;Bedfordshire Fresh Auto
10;Hungary Legacy;Pula Fantastic Optional;31685;36966;false;744-640-2901 x1986;bypassing indexing;Soap Investment Loan;Lake Micahview;Kiribati;Zechariah_Lubowitz@hotmail.com;Belarus;hack PCI;scale Focused Chile
