id;description;transaction_date;credit_amount;debit_amount;balance_amount;transaction_id;location_code;tenant_code
1;Granite solid;2022-10-26T08:06:48;48098;63858;40355;Customer-focused;Gorgeous cultivate Pizza;Sports
2;Identity hack;2022-10-26T16:27:33;2359;33040;35045;system red;Fundamental deposit;Account portal Kids
3;synthesize circuit;2022-10-26T20:36:50;48799;18389;87941;array Streamlined;multi-state Auto;Hat enhance
4;Bedfordshire HTTP RSS;2022-10-26T17:00:28;94161;49833;51531;Fresh synthesize Tunnel;Keyboard Concrete withdrawal;instruction strategic
5;Metal Sports;2022-10-26T04:26:09;48664;14904;54065;networks;pixel Forward encompassing;Berkshire Granite Personal
6;Baht wireless Granite;2022-10-26T12:03:31;5749;43010;15565;grid-enabled;User SMS;Bacon
7;Berkshire Concrete programming;2022-10-26T02:23:24;85348;11730;51300;bluetooth calculating Bacon;Programmable feed Tasty;Intelligent Coordinator Auto
8;Awesome;2022-10-26T07:15:29;2055;5223;35414;Steel Rustic Loan;Loan Ameliorated black;strategic Gorgeous
9;yellow;2022-10-26T14:35:26;84495;98616;44171;Vietnam Research Computer;Data Herzegovina auxiliary;scalable bus Wisconsin
10;Rubber Nevada seamless;2022-10-26T01:44:19;37980;41901;94100;El alliance eyeballs;GB;synergies
