id;description;transaction_date;credit_amount;debit_amount;balance_amount;transaction_id;location_code;tenant_code
1;reinvent compressing Bedfordshire;2022-10-26T20:52:03;59609;3468;18657;Personal;pink index;blockchains
2;paradigms;2022-10-26T06:00:58;90933;74369;82668;primary cross-platform Account;value-added;Bacon
3;Franc Borders;2022-10-26T09:03:15;79292;4957;88629;up Tools e-enable;schemas;deposit invoice
4;Bedfordshire Mouse;2022-10-26T01:39:49;79146;56460;24719;Configurable;Forward payment Soft;bluetooth matrix Usability
5;focus;2022-10-26T00:40:36;53727;68692;5267;SMTP neural magnetic;sexy Handcrafted;Junctions turquoise compressing
6;withdrawal Sausages;2022-10-26T10:30:11;56948;16444;61599;Avon Handcrafted web;Computers Soap;connect Hat Officer
7;Right-sized Dynamic;2022-10-26T15:00:15;84354;98846;82908;Electronics USB;Loan software;Steel
8;program;2022-10-26T14:38:13;64610;40425;12942;Product Industrial;Garden Intranet extensible;Market
9;markets user;2022-10-26T13:31:52;29090;16781;49964;override non-volatile New;Paradigm Reverse-engineered;Creative Card Coves
10;Fish Group;2022-10-26T14:58:40;88643;9272;93707;monitor bandwidth-monitored;incubate Manager;communities
